fact_id,system,fact,applicability,label,source_ids,confidence,notes
F100,sources,"The Henry Ford's Ford Motorsports Records collection includes Ford racing and performance-testing correspondence, press releases, textual materials, photographs, proof sheets, and negatives; the collection is open for research and is credited as a gift of Ford Motor Company.","Ford motorsports archive acquisition path.",verified,"S020",high,"Use as a targeted source-acquisition path for period Ford GT40 and Le Mans materials; do not treat the collection record itself as a service specification."
F101,sources,"The Henry Ford's Ford Motorsports Records collection covers 1957-1968 Ford-Lincoln-Mercury involvement in races, durability runs, and rallies, and includes keywords for 24 Hours of Le Mans, Ford Motor Company, Dan Gurney, motorsports, and sports cars.","Ford GT40 period-context archive lead.",verified,"S020",medium,"Request specific GT40/Le Mans/Ford performance materials before extracting any vehicle or component claim."
F102,sources,"The Henry Ford's Dave Friedman Collection includes racing photographs, slides, negatives, documents, programs, and published material; its scope includes race files with entrant lists, car details, programs, press kits, and published materials, plus material related to Ford Motor Company, Shelby-American International, and Dan Gurney's All-American Racers.","Dave Friedman racing archive acquisition path.",verified,"S021",high,"Use as an acquisition path for visual and race-context GT40 evidence; photographs remain comparison aids unless linked to identified components and records."
F103,sources,"The Dave Friedman Collection is open for research, includes a downloadable finding aid, and carries keywords including 24 Hours of Le Mans, 24 Hours of Daytona, Shelby-American Inc., Dan Gurney, Ford GT40 automobile, and sports car racing.","Dave Friedman GT40/Le Mans archive lead.",verified,"S021",medium,"Use the finding aid to target specific GT40 files before adding any configuration or race-context facts."
F104,sources,"The Henry Ford Remote Research Services page says the Benson Ford Research Center offers fee-based remote research for off-site researchers into archival, library, and some artifact collections, plus duplication paths including document, production-record, digital-image, audiovisual, and part-drawing order forms.","Remote archive research and duplication path.",verified,"S022",high,"Use to request S020/S021 material and possible production-record or part-drawing evidence; the research-service page itself does not prove any GT40 setting or component."
F105,sources,"The official 24H Le Mans track-record page is the canonical online path for winners, records, lap records, and race results across editions, with page metadata describing it as official all-time race history since 1923.","Official ACO/24H Le Mans race-history source path.",verified,"S023",high,"Use S023 as the first online official source path for Le Mans result verification; extract a specific edition row or inspect an ACO-licensed volume before promoting 1968 GT40 result details."
F106,history,"Static HTML extraction of the official 24H Le Mans track-record page did not expose 1968, Rodriguez, Bianchi, Ford, or GT40 text; route inspection identified the official palmares API captured as S025.","Race-result verification boundary.",verified,"S023;S025;S013",high,"Use S025 for verified core winner-row fields; keep S013 engine, lap-count, chassis, and preparation details lead-only until stronger direct evidence is captured."
F107,engine,"The Gurney-Weslake official homepage says Dan Gurney brought Harry Weslake the idea for alloy heads based on the Ford Fairlane 289 cid block, and that Weslake's Rye staff drew the new cylinder heads and special racing-engine components.","Gurney-Weslake head development context.",verified,"S024",medium,"Useful for provenance and source acquisition; it does not identify the installed heads or provide service settings."
F108,engine,"The Gurney-Weslake official homepage describes the head design as using inlet ports inclined at 9 degrees rather than the standard 20 degrees, round inlet ports, and a Weslake-pattern heart-shaped combustion chamber.","Gurney-Weslake head identification prompts.",verified,"S024",medium,"Use as inspection prompts alongside S015 photos and installed-head measurements; do not machine or tune from this description alone."
F109,engine,"The Gurney-Weslake official homepage describes Mark I heads as Alcoa-cast test heads evaluated by All American Racing in the USA, Mark II heads as later English heads from Weslake at Rye, Mark III heads as assembly/maintenance improvements, and Mark IV heads as lighter heads with narrower rocker covers and inclined carburetor mounting.","Gurney-Weslake head versioning context.",verified,"S024",medium,"Version names are identification leads only; installed head version still requires casting marks, dimensions, and records."
F110,engine,"The Gurney-Weslake official homepage states that the Mark IV head version was developed for the Ford 305 cid engine, supported Dan Gurney's Riverside win in 1967, and that Gurney-Weslake engines powered Ford GT40 Le Mans wins in 1968 and 1969.","Gurney-Weslake GT40 historical context.",verified,"S024",medium,"History context only; specific 1968 race-entry and installed-engine claims remain governed by S015/S023/S013 and vehicle evidence."
F111,engine,"The Gurney-Weslake official homepage distinguishes 1968 road-car cylinder-head castings from GT40 race heads, stating that road-car heads were not fitted to GT40s at the time and that GT40 heads used William Mills high-grade full-race castings with full-race chambers, porting, and passageways.","GT40 race-head versus road-head identification boundary.",verified,"S024",high,"Critical inspection boundary: do not accept Gurney-Weslake rocker covers or later-converted road heads as proof of period GT40 race heads."
F112,sources,"The inspected Ford Heritage Vault homepage presents the site as a Ford Motor Company archive/search collection for Ford production-history material, including brochures, photographs, images, press releases, Ford Times issues, and heritage material.","Ford official archive acquisition path.",verified,"S003",high,"Use as an official Ford source path for Ford GT40 archival material; do not treat the homepage itself as a vehicle service source."
F113,sources,"A direct GT40 keyword search on Ford Heritage Vault returned 84 records, with filters showing 54 textual records, 28 image records, and 2 moving-image records.","Ford GT40 archive-search result.",verified,"S003",high,"Use to target Ford archive records for future extraction; search-result counts do not prove mechanic settings."
F114,sources,"The inspected Ford Heritage Vault GT40 search filters exposed period year filters including 1964, 1965, 1966, 1967, and 1969, and a model filter for GT40 with 8 records.","Ford GT40 archive-search targeting.",verified,"S003",medium,"Use these filters to target period Ford GT40 records; absence of an exposed 1968 filter in this search output does not prove absence of 1968 material."
F115,sources,"The inspected Ford Heritage Vault GT40 first search-result page exposed textual GT40 concept/racing-heritage records and 1966 Ford GT40 Mk II image records with Ford Heritage Vault record references.","Ford GT40 archive-search targeting.",verified,"S003",medium,"Individual records must be opened and extracted before any vehicle, history, configuration, or service claim is promoted."
F116,sources,"The official 24H Le Mans Winners and Records page exposes a palmares API pattern used for year, driver, constructor, and team result views.","Official Le Mans race-history data route.",verified,"S023;S025",high,"Use S025 for the extracted 1968 winning row; do not treat the API as a vehicle service source."
F117,history,"The official 24H Le Mans palmares API 1968 year endpoint lists the classified overall winner as ranking 1, category ranking 1, category S 3001 cm3 à 5000 cm3, team JWA, participant number 9, car FORD GT 40.","Official 1968 Le Mans winning-row context.",verified,"S025",high,"Verifies the official winner row core fields but not lap count, engine displacement, chassis number, or preparation details."
F118,history,"The official 24H Le Mans palmares API 1968 winning row lists the drivers as Pedro RODRIGUEZ and Lucien BIANCHI, with countries MEX and BEL.","Official 1968 Le Mans driver context.",verified,"S025",high,"Use spelling as captured by the official API when citing this row; accenting and full biographical detail require separate source evidence."
F119,history,"The official 24H Le Mans palmares API 1968 winning row does not expose lap count, engine displacement, full entrant legal name, chassis number, or race-preparation data.","Race-result verification boundary.",verified,"S025;S013",high,"Keep S013 engine and lap-count details as lead-only until an official entry list, race program, scrutineering document, Ford/JWA record, ACO-licensed annual, or chassis record is inspected."
F120,sources,"ZF's official corporate site identifies ZF as a global supplier of mobility products and systems and links to the ZF Aftermarket portal for spare parts, workshops, service locations, and aftermarket support.","ZF manufacturer authority and support path.",verified,"S008",medium,"Use as a source-acquisition path for ZF support; it is not GT40 or 5DS-25 service data."
F121,sources,"ZF Aftermarket's technical-information page provides official catalog paths for technical information and says logged-in users get access to additional technical information.","ZF technical-information acquisition path.",verified,"S008",high,"If a ZF transaxle is installed, use model/type/serial evidence to request exact technical information."
F122,driveline,"ZF Aftermarket's lubricant page says its lubricant lists are intended to find the right oil for a ZF application, while its transmission-service page points to ZF transmission service, genuine spare parts, partner finding, and service centers.","ZF lubricant and service acquisition path.",verified,"S008",high,"Do not infer a GT40 ZF 5DS-25 oil or service setting until the installed unit and applicable ZF document/list are verified."
F123,sources,"The Ford Heritage Vault GT40 XML summary generated through the official search POST form includes record AR-2000-213654.140.56.17 titled 1965 Ford GT40 Mark I in front of brick building UK NEG 1965-1414-0017.","Official Ford GT40 Mark I archive record located.",verified,"S026;S003",high,"Use the REFD as a stable Ford Heritage Vault acquisition anchor for period GT40 Mark I body/context research."
F124,chassis_body,"The Ford Heritage Vault detail record AR-2000-213654.140.56.17 exposes Year 1965, Make Ford, and Model GT40 for the image record titled 1965 Ford GT40 Mark I in front of brick building UK NEG 1965-1414-0017.","Period GT40 Mark I Ford archive image metadata.",verified,"S026",high,"Use as official Ford archive context only; it does not identify the user's chassis, tub, clips, repair state, or body dimensions."
F125,chassis_body,"The Ford Heritage Vault detail record AR-2000-213654.140.56.17 lists subject links including Ford Division, Ford Motor Company (England) Ltd., GT40, and coupes.","GT40 Mark I archive subject metadata.",verified,"S026",medium,"Useful for Ford archive search targeting and body/context organization; not a service or repair specification."
F126,chassis_body,"The Ford Heritage Vault detail record AR-2000-213654.140.56.17 exposes media type Image plus media-access and thumbnail links for the GT40 Mark I record.","GT40 Mark I image-asset access path.",verified,"S026",medium,"Use to obtain visual reference material under Ford Heritage Vault usage terms; do not treat visual similarity as installed-component proof."
F127,sources,"The Ford Heritage Vault detail record AR-74-18056.46.2186 is titled Racing Heritage: GT40 Concept Builds on a Proud History.","Official Ford GT40 racing-heritage archive record located.",verified,"S027;S003",high,"Use as a Ford press-release archive anchor; do not use unextracted PDF body content for claims."
F128,sources,"The Ford Heritage Vault detail record AR-74-18056.46.2186 exposes media type Textual and provides media-access and thumbnail links for the attached asset.","Ford GT40 textual asset access path.",verified,"S027",high,"The attached PDF is archived locally, but body text still requires OCR or manual extraction before content claims are promoted."
F129,history,"The Ford Heritage Vault detail record AR-74-18056.46.2186 lists subject links including press releases, North American International Auto Show, GT40, GT40 concept vehicle, Ford Henry II, 24 Hours of Le Mans, and GT.","Ford GT40 press-release subject metadata.",verified,"S027",medium,"Useful for source targeting and history organization; subject metadata is not a mechanic setting or installed-car fact."
F130,sources,"The S027 Ford Heritage Vault media-access response was downloaded as a PDF with filename access-ar_74_18056_061_060.pdf and archived locally as sources/archive/S027-ford-heritage-vault-racing-heritage-gt40-concept.pdf with SHA-256 adc9ad5d300953633917e53ee913dae2a56472dde13bc6a94a1afbd40d279c0b.","Ford GT40 press-release PDF archived.",verified,"S027",high,"Preserve the archive for future OCR/manual extraction; current indexed facts are limited to record metadata and archive provenance."
F131,sources,"Raw strings extraction of the S027 PDF did not expose meaningful body text, but after Poppler installation pdftotext -layout extracted usable text and rendered page images were visually inspected for direct claims.","Ford GT40 press-release extraction method.",verified,"S027",high,"Use only the S027 claims explicitly extracted into source notes and fact rows; do not infer additional PDF body claims without rechecking the local PDF, extracted text, or rendered pages."
F132,history,"The S027 Ford press-release PDF frames the original GT40 program as a Ford effort under Henry Ford II that reached the top level of international motorsports and remained there for four racing seasons.","Ford GT40 program historical framing.",verified,"S027",medium,"Historical context only; it does not identify the user's car or provide service specifications."
F133,history,"The S027 Ford press-release PDF says Ford withdrew from the 1957 Automobile Manufacturers Association racing agreement in 1962 and launched a broad racing campaign connected to Ford Total Performance.","Ford Total Performance context.",verified,"S027",medium,"Useful for Ford program history; not a mechanic setting or installed-component fact."
F134,history,"The S027 Ford press-release PDF says Ford needed a 200-mph mid-engined Le Mans car and formed the Britain-based Ford Advanced Vehicles division after Ferrari negotiations failed.","Ford Advanced Vehicles GT40 origin context.",verified,"S027",medium,"Useful for source targeting and program history; not evidence of this car's chassis identity."
F135,chassis_body,"The S027 Ford press-release PDF says Lola GT elements including a monocoque center section, broad side sills doubling as fuel tanks, and aerodynamic profile carried into GT40 development.","GT40 design ancestry context.",verified,"S027",medium,"Use as Ford-authored design-history context only; do not treat it as a repair drawing, tank specification, or installed-car proof."
F136,chassis_body,"The S027 Ford press-release PDF describes the April 1964 Ford GT as longer, wider, and sleeker than the Lola, with a rigid steel center section and unstressed front and rear fiberglass body panels.","Early Ford GT chassis/body context.",verified,"S027",medium,"Applies to the early Ford GT context described by the article; S015 remains the stronger homologation baseline for GT40 No. 224 and installed-car inspection remains required."
F137,engine,"The S027 Ford press-release PDF describes the April 1964 Ford GT as using an all-aluminum 4.2-liter Indianapolis V-8 and a 4-speed Colotti transaxle.","Early Ford GT powertrain context.",verified,"S027",medium,"Early prototype context only; do not transfer to the 1968 Gurney-Weslake 302 or installed transaxle."
F138,suspension_steering,"The S027 Ford press-release PDF says the April 1964 Ford GT featured computer-designed double-wishbone suspension.","Early Ford GT suspension context.",verified,"S027",medium,"Historical design context only; no alignment, geometry, spring, damper, or steering setting is actionable from this statement."
F139,brakes_wheels_tires,"The S027 Ford press-release PDF says the April 1964 Ford GT had 11.5-inch disc brakes at each wheel.","Early Ford GT brake context.",verified,"S027",medium,"Historical design context only; it does not identify the user's brake hardware or unblock brake settings."
F140,history,"The S027 Ford press-release PDF says the GT40 number was added retrospectively with the Mark II and refers to the car's height in inches.","Ford press-release GT40 naming context.",verified,"S027",medium,"Use as Ford press-release naming context; do not override chassis records, homologation documents, or period entry records where terminology differs."
F141,history,"The S027 Ford press-release PDF says Carroll Shelby worked on installing a more reliable 7-liter stock-car engine into what became known as the Mark II, and that Ford tested the Mark II in the wind tunnel and on a special dynamometer simulating a 48-hour Le Mans circuit run.","Ford GT40 Mark II development context.",verified,"S027",medium,"Mark II historical context only; do not transfer 7-liter, wind-tunnel, or dynamometer statements to a 1968 Mk I Gurney-Weslake 302 without direct evidence."
F142,history,"The S027 Ford press-release PDF says Ford achieved a 1-2-3 victory at 1966 Le Mans and describes the 1967 Mark IV as an all-Dearborn creation using aluminum honeycomb bonded with aerospace techniques instead of steel.","Ford GT40 1966 and Mark IV historical context.",verified,"S027",medium,"History only; Mark IV construction does not apply to Mk I tub repair or material decisions."
F143,history,"The S027 Ford press-release PDF says the FIA capped engine displacement at 5 liters and that under Gulf Oil sponsorship Mark I GT40s returned to win Le Mans in 1968 and again in 1969.","Ford press-release 1968-1969 Mark I/Gulf context.",verified,"S027",high,"Use as Ford historical context alongside S009 and S025; S025 remains the official extracted source for the 1968 winner-row fields and S027 does not identify the chassis, engine build, lap count, or preparation details."
F144,sources,"The S016 Hewland LG500/LG600 manual archive is a 19-page non-encrypted PDF 1.4 file with SHA-256 2f91072c884cf834b7ca132f03338d002fced18f99165c1b1a8100e0ec9a4b7e, and pdftotext -layout produced usable text for indexing.","Hewland manual extraction provenance.",verified,"S016",high,"The extracted text has OCR/layout gaps; promote only directly checked claims and verify numeric values against the rendered PDF/manual before use."
F145,driveline,"The S016 Hewland LG500/LG600 manual's general maintenance notes call for genuine spares, new nuts and gaskets on reassembly, controlled warming of the case without overheating, and splitting refill oil between the two filler holes.","LG500/LG600 maintenance discipline.",verified,"S016",high,"Actionable only for verified LG500/LG600 or directly compatible units; oil type and quantity remain blocked."
F146,driveline,"The S016 Hewland LG500/LG600 manual's gear-train stripping guidance calls for inspection of hubs, clutch rings, gears, selector forks, fork-to-clutch-ring play, and renewed hub length, with pinion-assembly clearance important to avoid overheating, seizure, or excessive wear.","LG500/LG600 gear-train inspection scope.",verified,"S016",high,"Use as an inspection checklist after transaxle identity is confirmed; do not replace part-length or clearance judgment with OCR-derived values."
F147,driveline,"The S016 Hewland LG500/LG600 manual's selector-fork setup section requires clutch rings to be centered on their hubs, fully engage either gear, and retain clearance between gear and clutch-ring faces when engaged, followed by clearance and movement rechecks.","LG500/LG600 selector-fork setup method.",verified,"S016",high,"Requires verified gearbox applicability and suitable jig/tooling; no selector setting should be guessed from linkage feel alone."
F148,driveline,"The S016 Hewland LG500/LG600 manual's main-case service guidance includes washing out sludge and confirming no small metallic objects or particles remain in the case.","LG500/LG600 case-cleanliness requirement.",verified,"S016",high,"Use during teardown/rebuild inspection for applicable units; contamination findings should be recorded before cleaning."
F149,driveline,"The S016 Hewland LG500/LG600 manual's oil-pump and filter instructions call for inspecting pump gears and body for scoring, washing the oil filter, and avoiding over-tightening the filter bung because the filter should remain just turnable with slight hand pressure.","LG500/LG600 oil-pump and filter service caution.",verified,"S016",high,"Applies only after LG500/LG600 applicability is confirmed; do not infer oil pressure or flow targets from this statement."
F150,driveline,"The S016 Hewland LG500/LG600 manual describes crown wheel and pinion setup as a matched-pair operation using setting gauges, dummy bearings, shims, backlash measurement, and preload checks, and warns that absence of backlash can give a false impression of preload.","LG500/LG600 final-drive setup method.",verified,"S016",high,"Do not perform backlash or preload adjustment until the unit, tools, and directly checked manual values are available."
F151,engine,"The Gurney-Weslake official homepage says the 1968 passenger-road-car heads were made to a modified design with detuned combustion chambers, budget design, LM8 material, and Aeroplane and Motor Foundry castings.","Gurney-Weslake road-head casting boundary.",verified,"S024",high,"Use foundry/material/chamber evidence to distinguish road heads from GT40 race heads; do not treat road-head identity as period GT40 race-head proof."
F152,engine,"The Gurney-Weslake official homepage says road-car heads could be machined with different port or valve sizes than full-racing heads, some internal passageways differ, and many were later converted as near to race-car specification as the Gurney factory could make them for Indy-car use.","Gurney-Weslake later-conversion inspection risk.",verified,"S024",high,"A later-converted road head may look race-prepared; require foundry marks, chamber/port/passageway evidence, and provenance before applying GT40 race-head assumptions."
F153,engine,"The Gurney-Weslake official homepage says Aeroplane and Motor cast heads were usually branded Gurney Eagle, although some may later have been fitted with Gurney-Weslake rocker covers.","Gurney-Weslake rocker-cover substitution warning.",verified,"S024",high,"Rocker covers and branding are not sufficient identification evidence; inspect castings, chambers, ports, passageways, and documentation."
F154,sources,"The S028 Dave Friedman Collection finding aid is a 111-page non-encrypted PDF archived locally with SHA-256 9e977345fa83d98cd2c2b7741d732a5e40c092fd3d611334b10674ef2d9512d7, and pdftotext -layout produced usable text for indexing despite an optional-content syntax warning.","Dave Friedman finding-aid archive provenance.",verified,"S028",high,"Use S028 as an offline source-acquisition map; individual archive items still need separate source records before supporting vehicle claims."
F155,sources,"The S028 finding aid identifies the Dave Friedman Collection as accession 2009.158 at Benson Ford Research Center, The Henry Ford, with 64.6 cubic feet, 93 negative binder boxes, 5 oversize boxes, and 100000 digital images.","Dave Friedman collection scale and repository.",verified,"S028",medium,"Collection scale supports targeted research planning but does not provide mechanic settings."
F156,sources,"The S028 finding aid says the collection includes race files with entrant lists, car details, programs, press kits, and published materials, plus material related to Ford Motor Company, Shelby-American International, and Dan Gurney's All-American Racing.","Dave Friedman GT40-relevant material types.",verified,"S028",high,"Target these material types for 1968 GT40 configuration evidence; do not infer the contents of any unrequested folder."
F157,sources,"The S028 finding aid describes the Shelby-American International negatives/contact-sheets subseries as covering 1958-1968 and documenting design, construction, and races of specialty prototype Ford GT cars including Mark II and Mark IV.","Shelby-American Ford GT visual-evidence path.",verified,"S028",medium,"Use as a visual/source-acquisition path; not direct evidence for the 1968 Mk I Gurney-Weslake 302 configuration."
F158,sources,"The S028 finding aid describes the Ford Motor Company Racing prints subseries as covering 1960-1970 and including Ford endurance races for 1968-1969, GT and Mustang material, Mk. II / J-Car material, and Mk. IV material.","Ford Motor Company Racing archive target.",verified,"S028",high,"Prioritize Ford endurance and GT Program folders for Ford-supported GT40 configuration evidence."
F159,sources,"The S028 finding aid's container list identifies Ford Motor Company Racing Box 116 Endurance 1968 folders for 1000 Km Monza, Nürburgring, Spa, 12 Hours of Sebring, 24 Hours of Daytona, 24 Hours of Le Mans, BOAC 500, and Watkins Glen 6-Hour.","1968 Ford endurance folder targets.",verified,"S028",high,"Request page counts or scans for these folders before adding race-preparation or configuration claims."
F160,sources,"The S028 finding aid's container list identifies Ford Motor Company Racing Box 117 GT Program folders for GT 40, 1964 FAV Slough Factory, 1965-1966 General, J-Car, 1966 Daytona Track Tests, 1966 Riverside Track Tests, and 1967 Dearborn Testing.","Ford GT Program folder targets.",verified,"S028",high,"Request the GT 40 and testing folders as likely paths to chassis/body/test/development evidence; still not installed-car proof."
F161,sources,"The S028 finding aid describes the Research Files Shelby Racing subseries as covering 1962-1968 and including race results, shipping records, FIA homologation reports, technical reports, and correspondence related to Shelby racecars as well as Ford GT and Indianapolis racecars; its container list identifies Box 160 correspondence and reports from 1962-1968.","Shelby Racing technical-research target.",verified,"S028",high,"Target Box 160 for Ford GT technical reports/correspondence leads; inspect acquired documents before promoting any fact."
F162,sources,"The S009 FIA Appendix J 1968 PDF is archived locally as sources/archive/S009-fia-appendix-j-1968.pdf with SHA-256 075a102b9b1c558efe0bc77bfff26ae40d25c55cf4284ec1f8b01ef3a96399a4; pdfinfo reports 24 pages, no encryption, PDF 1.7, and pdftotext -layout extracts usable body text.","FIA Appendix J 1968 archive provenance.",verified,"S009",high,"Use the local archived PDF for repeatable extraction and verification of period regulation claims; rendered pages are still preferred for layout-sensitive tables or unclear OCR."
F163,sources,"The S025 official 24H Le Mans palmarès 1968 API payload is archived locally as sources/archive/S025-aco-1968-palmares-api.json with SHA-256 3af507df196011a8a35933d03d09b5a4e0315c22c6f422a95f3b3727c6c8c1f4; the archived JSON parses with top-level results and pagination and contained 41 result rows when captured.","ACO 1968 palmares API archive provenance.",verified,"S025",high,"Use the local JSON archive for repeatable verification of the 1968 winner-row fields; do not promote fields that are absent from the payload, including engine displacement, lap count, full entrant legal name, chassis number, or race-preparation detail."
F164,electrical_instruments,"S009 Article 290 for two-seater racing cars listed minimum lighting equipment as at least two braking lights; for night racing, at least two head-lights as effective as normal touring-car equipment and two rear direction indicators, with supplementary regulations able to require more lighting.","Period lighting safety benchmark; not an installed GT40 wiring specification.",verified,"S009",medium,"Use as an inspection prompt for lighting and brake-light evidence; do not infer bulb type, wiring route, fuse value, switch type, or event compliance from this alone."
F165,brakes_wheels_tires,"S009 Article 291 for two-seater racing cars stated no restriction on wheel or tyre size provided right and left front wheels/tyres are identical and right and left rear wheels/tyres are identical; it did not require a spare wheel and tyre.","Period wheel/tyre symmetry benchmark; not an installed GT40 wheel or tire specification.",verified,"S009",medium,"Use as a period inspection prompt only; tire pressure, wheel dimensions, center-lock torque, and installed wheel/tire legality remain hardware- and event-specific."
F166,safety,"S009 Article 292 for two-seater racing cars required a securely mounted dry-chemical fire extinguisher of at least 1 kg, scatter-shield protection where clutch or flywheel failure could endanger the driver, roll-over protection, quick-release safety belt attached to the chassis structure, adequate firewall/floor protection, fuel/oil/water tank isolation from the cockpit, fuel-tank venting, fuel bulkhead isolation, and fully enclosed batteries.","Article-level period safety benchmark; not automatically proof of Group 4 GT40 compliance.",verified,"S009",high,"Use as a detailed period safety checklist alongside current Appendix K and event rules; installed equipment, mounting, dates, condition, and event requirements remain open."
F167,fuel_oil_cooling,"S009's general fuel-tank capacity table listed 140 litres for cars over 3,000 cc and up to 5,000 cc, and treated any container whose fuel could flow to the main tank or directly to the engine as a fuel tank.","Period fuel-capacity regulation context; not an installed GT40 tank specification.",verified,"S009",medium,"Use as period context only; S015 item 7 remains blank and installed tank/cell capacity, event rules, HTP status, and fuel-system evidence are still required."
F168,fuel_oil_cooling,"S009's fuel-tank section required fuel filling ports and vents to be outside the passenger compartment and entirely leak-proof.","Period fuel filler and vent safety benchmark; not an installed GT40 filler or vent specification.",verified,"S009",high,"Use as an inspection prompt for filler-neck, cap, vent, bulkhead, and leak evidence; do not infer cap type, vent routing, valve specification, or event compliance from this alone."
F169,fuel_oil_cooling,"S009's oil-catch provision for closed-circuit speed races required equipment to prevent oil spilling on track, with 2 litres minimum catch capacity for cars up to 2,000 cc and 3 litres for cars over 2,000 cc.","Period oil-containment safety benchmark; not an installed GT40 breather or catch-tank specification.",verified,"S009",high,"Use as a period inspection prompt alongside current Appendix K; installed breather layout, catch tank capacity, closed-circuit breathing status, and event rules remain open."
F170,safety,"S019 Appendix K Article 5.15.2 requires shoulder straps to run rearward and downward without exceeding 45 degrees to horizontal from the upper backrest edge, recommends not exceeding 10 degrees, says lap and crotch straps must pass through the seat rather than over the sides, and says lap straps must hold the pelvic region rather than the abdomen while avoiding chafing on sharp edges.","Current historic harness routing and body-contact benchmark.",verified,"S019",high,"Use for safety evidence capture and inspection only; installed seat, belt, anchor, FHR, and event applicability remain unverified."
F171,safety,"S019 Appendix K Article 5.15.2 says that when shoulder or crotch straps cannot use series anchorage points, new anchorage points must be installed on the shell or chassis; shoulder strap anchors should be as near as possible to the rear-wheel centreline, and listed reinforcement/anchorage requirements include transverse tube size/material, M12 8.8 or 7/16 UNF bolt options, 1470 daN anchorage load or 720 daN crotch-strap load, and steel reinforcement plates of at least 40 cm2 by 3 mm.","Current historic harness anchorage benchmark.",verified,"S019",high,"Do not approve existing anchors from appearance; inspect material, geometry, load path, reinforcement, fasteners, seat pass-throughs, and manufacturer instructions before event use."
F172,safety,"S019 Appendix K Article 5.21 sets seat-replacement rules for listed GTS, CT, GT, and T categories from Period F onward, including period-specification or FIA-homologated complete seat-system requirements depending on category; applicability to a GT40-style car depends on its HTP/category/event classification.","Current historic seat replacement classification boundary.",verified,"S019",medium,"Do not apply Article 5.21 generically to the project car; first verify FIA period/category, seat identity, mounting, original-seat status, and event requirements."
F173,safety,"S019 Appendix K Article 5.10.1 requires two rear-view mirrors for racing with minimum total glass area of 90 cm2.","Current historic racing mirror benchmark.",verified,"S019",high,"Installed mirror count, glass area, mounting, driver visibility, vibration, and event applicability remain unverified."
F174,electrical_instruments,"S019 Appendix K Articles 5.11.1 and 5.14.1 require front-lamp glass to be taped or covered in closed-circuit races and require cars originally equipped with rear brake lights to have them working at race start.","Current historic lamp and brake-light event-readiness benchmark.",verified,"S019",high,"Use as an inspection prompt only; installed lamp material, tape/cover method, brake-light switch, wiring, fuse, bulb/LED output, and event rules remain unverified."
F175,electrical_instruments,"S019 Appendix K Article 5.14.2 requires a working rear-facing red warning light at race start that is clearly visible from the rear, solidly attached, driver-switchable, less than 10 cm from the car centreline, 20-40 cm2 in area, and at least 21 W incandescent or equivalent LED output; full-width bodywork may alternatively use two lights at equal distance from the centreline.","Current historic rear-warning-light specification boundary.",verified,"S019",high,"Installed warning-light location, area, output, switch, wiring, attachment, visibility, and full-width-bodywork applicability remain unverified."
