part_id,system,assembly,part_or_area,as_found_status,lead_or_expected_configuration,critical_identifiers,source_ids,label,confidence,next_action
P001,identity,vehicle,chassis plate and tub identifiers,unknown,"GT40 identity drives every period-correct configuration decision.","Chassis plate, tub stampings, restoration records, title, registry trail","S004;S014",open,high,"Photograph all chassis identifiers before cleaning; update vehicle identity worksheet."
P002,chassis_body,monocoque,steel tub panels and sponsons,unknown,"GT40 identity, corrosion, prior crash repair, and replica construction change repair strategy.","Panel seams, spot welds, material thickness, corrosion points, prior patch panels","S009",open,high,"Create photo map of tub, sills, front bay, rear bay, and suspension pickup areas."
P003,chassis_body,bodywork,fiberglass front and rear clips,unknown,"Body configuration affects cooling, brake ducts, tire clearance, and period appearance.","Clip construction, hinges, latch hardware, duct openings, repair layers","",open,medium,"Inspect fit before suspension alignment or aero-sensitive ride-height decisions."
P004,chassis_body,doors and glazing,doors windows seals latches,unknown,"Door and glazing specification varies across Mk I, road, race, and later rebuilds.","Door shell type, window frame, latch, hinge, weather seal, roof cutout fit","",open,medium,"Record as-found adjustment and latch engagement before disassembly."
P005,engine,short block,block casting and bottom end,unknown,"S015 verifies the 1968 GT40 302 evolution as 101.6 mm bore, 76.2 mm stroke, 4942.16 cc / 302 cu in, with crankshaft part number C8FE-6300-A; installed block/crank are unverified.","Casting number, date code, main caps, bore, stroke, crank part, rods, pistons","S005;S009;S015",verified_context_installed_open,high,"Inspect and photograph casting marks; measure only when engine access allows."
P006,engine,cylinder heads,Gurney-Weslake heads,unknown,"S015 verifies a 1968 Ford GT 40 variant for Weslake aluminium cylinder heads, part number 3/3710; S024 adds Gurney-Weslake official context for Mark I-IV development, William Mills GT40 race-head castings, LM8 Aeroplane and Motor road-head castings, later conversions, and rocker-cover substitution risk; installed heads are unverified.","Casting marks, foundry marks, serials, material/foundry branch, chambers, valve sizes, port shape, passageway clues, plug angle, rocker-cover details, manifold angle, repair history","S006;S009;S015;S024",verified_context_installed_open,high,"Photograph all marks before cleaning; distinguish William Mills race heads from road-car, Gurney Eagle, rocker-cover-swapped, or later-converted heads before machining."
P007,engine,valvetrain,cam rockers pushrods springs,unknown,"Valve lash and rev-limit depend on cam card, rocker ratio, and spring package.","Cam card, rocker make/ratio, pushrod length, spring installed height, retainer/lock type","",open,high,"Measure and record without changing adjusters unless required for safe teardown."
P008,engine,ignition,distributor coil box wires plugs,unknown,"Ignition was freer under Appendix J but actual timing and plug choices are engine-specific.","Distributor make/curve, ignition box, coil, plug type, wires, tach drive","S009",open,high,"Lock out setup values until distributor curve and engine build are known."
P009,engine,induction,carburetors and intake,unknown,"Weber-style carburetion is a lead only; S018 provides official Weber IDA support, literature categories, and 46/48 IDA gasket/service/master-rebuild kit product-code leads if installed carburetors are verified as IDA; model, choke, and jet stack determine tuning.","Carb model, series, serials, choke size, venturis, jets, emulsion tubes, linkage, manifold marks","S004;S013;S018",lead_with_verified_support_source,high,"Photograph carburetor bodies, tags/stamps, jet stack, spacers, gaskets, and linkage before adjustment; record fuel pressure gauge location; use S018 only after carb family is confirmed."
P010,engine,exhaust,headers collectors silencers,unknown,"Appendix J treated exhaust as freer than core engine identity, but installed exhaust affects tune and heat risk.","Header pattern, material, collector size, mounts, wrap/coating, heat shielding","S009",open,medium,"Inspect for cracks and heat exposure to brake, fuel, and electrical systems."
P011,fuel_oil_cooling,fuel storage,tanks cells fillers vents,unknown,"Fuel system safety and event legality depend on installed tank/cell type and date; S015 includes but does not populate fuel-tank capacity.","Tank/cell maker, date/certification, foam, filler, cap, vent valves, drains","S009;S015",verified_boundary_installed_open,high,"Map tank isolation, vent route, hose age, and cockpit/firewall separation."
P012,fuel_oil_cooling,fuel delivery,pumps filters regulators lines,unknown,"Carburetor fuel pressure and flow are installation-specific and not yet actionable; S015 includes a fuel-pump prompt but does not populate pump type/count.","Pump make, regulator, filters, hose spec/date, hardline routing, pressure gauge","S015",verified_boundary_installed_open,high,"Pressure-test only after hose condition and routing are documented."
P013,fuel_oil_cooling,oil system,sump or dry-sump tank pump cooler,unknown,"Oil quantity and pressure targets depend on wet/dry-sump layout and builder setup; S015 includes but does not populate lubrication type, lubricant capacity, or oil-cooler details.","Pump, tank/sump, cooler, thermostat, filter, relief valve, line size, breather/catch tank","S009;S015",verified_boundary_installed_open,high,"Map oil circuit before filling, priming, or setting pressure assumptions."
P014,fuel_oil_cooling,cooling system,radiator pump fans hoses,unknown,"Cooling setup depends on radiator, pump, fan, cap, thermostat/restrictor, and hose routing; S015 includes but does not populate cooling method, coolant capacity, or fan details.","Radiator, pump, fan, cap pressure, thermostat/restrictor, bleed points, hose date","S015",verified_boundary_installed_open,high,"Inspect and pressure-test after documenting hose age and bleed strategy."
P015,driveline,clutch,clutch flywheel release system,unknown,"Clutch service depends on transaxle input spline, bellhousing, slave, and release geometry.","Disc diameter/spline, cover, flywheel, release bearing, slave, master, pedal ratio","",open,high,"Identify before pedal adjustment or clutch bleeding assumptions."
P016,driveline,transaxle,gearbox differential final drive,unknown,"S015 verifies base ZF 5-speed recognition and a 1968 evolution for Hewland LG600 5-speed with Ford heavy-duty limited-slip differential part number CDH4204A; S016 provides LG500/LG600 manual context if the installed unit proves to be Hewland LG500/LG600 or directly compatible.","Manufacturer plate, model, serial, case marks, ratios, LSD type/part, final drive, cooler/vent","S008;S009;S015;S016",verified_context_installed_open,high,"Identify unit before oil, preload, backlash, or shift-linkage settings."
P017,driveline,halfshafts,driveshafts CVs donuts joints,unknown,"Halfshaft hardware has high consequence if aged, loose, or heat-damaged.","Joint type, fasteners, safety wire, boots, heat shields, plunge, angularity","",open,high,"Inspect fastener locking and heat exposure before any powered test."
P018,suspension_steering,front suspension,arms uprights springs dampers bars,unknown,"S015 verifies independent front suspension with coil springs but does not populate stabilizer or shock-absorber details; geometry is not yet known.","Pickup points, arm construction, upright marks, spring rates, damper make, bar size, shims","S009;S015",verified_boundary_installed_open,high,"Photograph shim packs and pickup points before disassembly; do not infer damper/bar setup from S015."
P019,suspension_steering,rear suspension,arms uprights radius links springs dampers bars,unknown,"S015 verifies independent rear suspension with coil springs but does not populate stabilizer or shock-absorber details; rear geometry and bump steer are component- and setup-specific.","Pickup points, link lengths, upright marks, spring rates, dampers, bar size, shims","S009;S015",verified_boundary_installed_open,high,"Record as-found alignment, shim packs, and hardware before changes; do not infer damper/bar setup from S015."
P020,suspension_steering,steering,rack column joints wheel,unknown,"S015 includes steering type, servo-assistance, and lock-to-lock fields but leaves them blank; steering effort, bump steer, and safety depend on installed rack, column, joints, and wheel retention.","Rack make/ratio, column joints, supports, wheel hub, quick release, stops","S015",verified_boundary_installed_open,high,"Inspect joints and stops before rolling-road or track operation; do not infer steering type or ratio from S015."
P021,brakes_wheels_tires,brake hydraulics,masters lines balance mechanism,unknown,"Appendix J provides a fail-safe baseline; S015 verifies hydraulic operation but does not populate master-cylinder or hydraulic dimension details.","Master sizes, balance bar/proportioning, line route, hose dates, fluid, residual valves","S009;S015",verified_boundary_installed_open,high,"Map circuit and verify dual-circuit behavior before bias changes."
P022,brakes_wheels_tires,brake corners,calipers discs pads ducts,unknown,"S015 does not populate caliper/wheel-cylinder bore, disc diameter/thickness, pad dimensions, or pad count; installed hardware controls bedding and service limits.","Caliper make, piston sizes, disc diameter/thickness, pad compound, ducting, hardware","S015",verified_boundary_installed_open,high,"Identify all four corners before bedding, bias, or fluid recommendations."
P023,brakes_wheels_tires,wheels,center-lock wheels hubs pegs nuts,unknown,"S015 includes wheel fields but does not populate attachment method or rim dimensions; center-lock torque and handedness are hardware-specific and safety-critical.","Wheel make/size/offset, peg drive, hub marks, nut thread direction, retainers","S015",verified_boundary_installed_open,high,"Document left/right threads and hub condition before applying any torque value."
P024,brakes_wheels_tires,tires,tires tubes valves,unknown,"Tire pressure and alignment depend on tire construction, compound, date, and use case.","Tire make/model/size, date code, construction, tube status, valve, intended use","",open,high,"Record tire data and age; treat aged race tires as unsafe for performance use."
P025,electrical_instruments,harness,wiring loom fuses relays grounds,unknown,"Wiring age and modifications affect fire risk and diagnostic approach; S015 does not provide wiring or protection-device details.","Harness layout, fuse/relay map, ground points, connectors, insulation condition","S009;S015",verified_boundary_installed_open,high,"Photograph and draw circuits before energizing unknown wiring."
P026,electrical_instruments,charging and starting,battery alternator starter master switch,unknown,"Battery enclosure and circuit-breaker requirements are safety-critical; S015 includes but does not populate generator or battery details.","Battery type/location/enclosure, alternator/generator, starter, master switch, cable routing","S009;S015",verified_boundary_installed_open,high,"Verify isolation and cable protection before connecting battery."
P027,electrical_instruments,instruments,gauges senders switches warning lights,unknown,"Gauge readings are only useful if sender compatibility and calibration are known; S015 does not provide gauge/sender details.","Gauge make/range, sender part, capillary lines, warning lamps, switch labels","S015",verified_boundary_installed_open,medium,"Map gauge-to-sender pairs before trusting readings."
P028,safety,driver safety,seat belts extinguisher roll-over protection,unknown,"Period Appendix J provisions are a floor for research; S019 adds current FIA Appendix K gates for harness standards, extinguisher, ROPS reference, and safety-condition expectations.","Belt standard/date/routing/anchor plates, extinguisher/fire-system standard/date/mounting, ROPS/cage, seat mounts, firewall/bulkheads","S009;S014;S019",verified_context_installed_open,high,"Inspect against current FIA Appendix K, event rules, and installed-component documents before competition use."
P029,safety,fuel and fire safety,tank foam filler caps fuel oil brake lines bulkheads catch tanks,unknown,"S019 adds current FIA Appendix K gates for fuel tank foam or safety tank context, Monza-cap secondary retention, line protection, fireproof bulkheads, and oil catch tanks.","Tank/cell type/date/capacity/foam, filler cap secondary device, fuel/oil/brake-line material/routing/protection, bulkhead integrity, catch-tank capacity, breather routing","S019",verified_context_installed_open,high,"Map and photograph the fuel/fire-safety system before filling, pressurizing, or event-readiness claims."
P030,safety,electrical safety,battery master switch warning light,unknown,"S019 adds current FIA Appendix K gates for battery terminal protection, lithium battery prohibition, cockpit battery cover/fixation, general circuit breaker behavior, and red rear warning light.","Battery chemistry/location/cover/hold-down, terminal protection, master switch make/location/marking/shutdown behavior, rear warning light location/output/switch","S019",verified_context_installed_open,high,"Verify battery/master-switch/warning-light compliance before energizing or competition use."
