setting_id,system,setting,applicability,current_status,blocking_evidence,source_ids,confidence,next_action
ST001,engine,ignition advance curve,"Installed Gurney-Weslake 302 or other engine",blocked,"Engine build sheet, compression ratio, cam, fuel, distributor/ignition type, dyno or period prep data","S009;S005;S006",high,"Capture engine build and ignition hardware before setting timing."
ST002,engine,valve lash,"Installed cam/head/rocker package",blocked,"Cam card, lifter type, rocker ratio, head/valvetrain documentation; S024 supports head identification only and does not provide lash values","S005;S006;S024",high,"Inspect cam/valvetrain records before advising lash."
ST003,engine,spark plug type and gap,"Installed heads/ignition/fuel",blocked,"Head documentation, plug reach/seat, compression, ignition box/coil, fuel type; S024 supports head identification only and does not provide plug specifications","S005;S006;S024",high,"Verify head plug spec and ignition system."
ST004,induction,Weber jetting and choke size,"Installed carburetors and intake",blocked,"Carburetor model/series, choke size, emulsion tubes, jets, fuel pressure, linkage condition, engine build sheet; S018 only supports Weber IDA documentation/parts path after model verification","S004;S013;S018",high,"Document carburetor stack before adjustment; if Weber IDA is confirmed, obtain exact diagram/service literature through S018."
ST005,induction,fuel pressure,"Installed pump/regulator/carburetor package",blocked,"Pump/regulator IDs, carburetor spec, gauge calibration, line routing, leak status","S004;S013;S018",high,"Measure with known-good gauge after leak inspection and carburetor identification."
ST006,fuel_oil_cooling,engine oil type and quantity,"Installed oiling system",blocked,"Dry/wet sump layout, tank/sump, cooler, filter, pump, builder data; S015 includes lubrication/capacity fields but leaves actionable values blank","S015",high,"Map oil system before filling or recommending oil."
ST007,fuel_oil_cooling,oil pressure target,"Installed engine/oiling system",blocked,"Engine clearances, pump/relief setup, oiling layout, builder data; S015 does not provide oil-pressure targets","S015",high,"Prime and verify pressure only after system identification."
ST008,driveline,transaxle oil type and fill quantity,"Installed transaxle",blocked,"Transaxle make/model/serial and service manual; S016 applies only if LG500/LG600 applicability is verified and provides refill distribution only, not a promoted oil type or total quantity","S008;S004;S015;S016",high,"Identify unit and obtain service data; if LG500/LG600 applicability is confirmed, use S016's two-filler-hole refill method only after the oil type and total quantity are verified from the manual and installed unit."
ST009,driveline,LSD preload/backlash/gear setup,"Installed transaxle/differential",blocked,"Transaxle/differential model, gear stack, differential type, service manual; S016 cautions require matched gear pairs, correct selector setup, and matched crown wheel/pinion","S008;S004;S015;S016",high,"Do not adjust until unit is identified and source applicability is confirmed."
ST010,suspension_steering,camber/caster/toe,"Installed suspension, wheels, tires, use case",blocked,"Chassis identity, pickup points, shims, uprights, tires, ride height, use case; S015 verifies independent/coil suspension only and does not provide geometry or alignment values","S009;S015",high,"Record as-found geometry before applying targets."
ST011,suspension_steering,ride height and corner weights,"Installed chassis/suspension/tires/use case",blocked,"Chassis identity, spring/damper/bar data, tire data, fuel/driver ballast, use case; S015 does not provide ride height, spring rate, damper, anti-roll-bar, or corner-weight values","S009;S015",high,"Record as-found with known fuel load and ballast."
ST012,brakes_wheels_tires,brake bias and master cylinder sizing,"Installed brake hardware",blocked,"Calipers, discs, pad compound, master cylinders, pedal ratio, balance bar, tire data; S015 confirms hydraulic brakes but leaves dimensions/settings blank","S009;S015",high,"Map system before pressure/bias adjustment."
ST013,brakes_wheels_tires,center-lock torque,"Installed wheels/hubs/nuts",blocked,"Wheel/hub/nut manufacturer, thread direction, lubricant condition, service data; S015 does not populate wheel attachment details","S015",high,"Identify hardware before torque recommendation."
ST014,brakes_wheels_tires,tire pressure,"Installed tire model/construction/use case",blocked,"Tire model, age, construction, wheel size, vehicle weight, use case, tire maker data; S015 does not provide tire data","S015",high,"Record tire details and intended use."
ST015,electrical,fuse/relay ratings and charging output,"Installed harness and accessories",blocked,"Wiring diagram, alternator/generator, loads, wire gauges, protection devices; S015 includes generator/battery fields but leaves actionable values blank","S009;S015",high,"Map harness before energizing or resizing protection."
ST016,electrical,master switch/circuit breaker layout,"Installed electrical/fire-safety system",blocked,"Harness map, battery location, alternator/generator, event rules, safety-system documentation; S015 does not provide a master-switch or circuit-breaker layout","S009;S015",medium,"Use FIA period context as prompt, then verify current event requirements."
ST017,suspension_steering,steering ratio and bump-steer setup,"Installed steering rack, column, uprights, arms, wheels, tires, and ride height",blocked,"Rack make/ratio, steering-arm geometry, column/joint condition, stops, ride height, wheel/tire package, bump-steer measurement; S015 steering fields are blank","S015",high,"Document rack/column/upright/steering-arm identifiers and measure bump steer before adjustment."
ST018,safety,Appendix K event safety readiness,"Competition or track use under historic-event rules",blocked,"Current event regulations, HTP/period classification, installed safety equipment IDs/dates, battery/master-switch function, fuel tank/foam/caps/lines, bulkheads, extinguisher/fire system, belts/anchors, ROPS, mirrors, warning light","S019",high,"Build a safety evidence packet and check against the event's current regulations before declaring ready."
ST019,electrical_instruments,battery and master-switch compliance,"Installed electrical safety system",blocked,"Battery chemistry/location/cover/terminal protection, master-switch type/location/marking, alternator/generator shutdown behavior, fire-system circuit exception, inside/outside accessibility","S019",high,"Test and document master-switch behavior with installed charging and ignition systems before energizing unknown wiring."
ST020,fuel_oil_cooling,fuel fire-safety compliance,"Installed tank/cell/filler/line system",blocked,"Tank/cell type/date/capacity, foam or safety tank evidence, fuel-cap secondary retention, fuel-line material/pressure rating/fittings/routing, bulkhead condition, event rules","S019",high,"Inspect and document tank, foam/cell, fillers, vents, lines, and bulkheads before filling or pressure testing."
ST021,safety,harness and restraint compliance,"Installed belts, seat, anchorages, and optional FHR use",blocked,"Harness FIA standard/date, manufacturer instructions, routing angles, anchor locations/plates/bolts, seat pass-throughs, chafe points, collision/damage history, event FHR requirement","S019",high,"Photograph and measure belt routing/anchorages; replace any damaged, degraded, rusted, deformed, or imperfectly functioning harness."
ST022,suspension_steering,spring damper and anti-roll-bar setup,"Installed suspension, tires, ride height, and use case",blocked,"Spring rates/free lengths, damper make/model/serial and valving/click positions, anti-roll-bar diameter/blade/arm/link geometry, motion ratios, corner weights, tire construction, use case; S015 leaves stabiliser and shock-absorber fields blank","S009;S015",high,"Identify and record springs, dampers, bars, links, and as-found positions before recommending rates, clicks, preload, or bar settings."
ST023,general,fastener torque values and torque sequence,"Any chassis, engine, suspension, brake, wheel, driveline, or safety fastener",blocked,"Exact fastener location, material, grade/specification, thread, lubrication, locking method, component manufacturer/source, repair history, and reuse/replace rule; current captured sources do not provide car-wide torque tables","S015;S016;S018;S019",high,"Do not tighten by generic tables; identify the component and applicable source before applying torque."
ST024,engine,rev limit,"Installed Gurney-Weslake 302 or other engine",blocked,"Engine build sheet, rotating assembly, valve springs, cam, oiling, ignition, fuel, dyno or period prep data; S015 verifies the 302 evolution but not safe operating RPM","S015;S024",high,"Keep rev-limit guidance blocked until the rotating assembly, valvetrain, oiling, and build records are known."
ST025,induction,float level idle mixture pump volume and linkage synchronization,"Installed carburetors and linkage",blocked,"Exact carburetor model/series, Weber manual applicability, float/needle/seat data, jet stack, pump jets, linkage geometry, engine build, and fuel pressure; S018 is a source path only until carburetors are identified","S018",high,"Photograph carburetors and linkage; obtain exact Weber literature before float, pump, mixture, or synchronization settings."
ST026,fuel_oil_cooling,oil relief setting and priming procedure,"Installed engine and oiling system",blocked,"Pump/relief hardware, wet/dry-sump layout, filter/cooler routing, engine clearances, builder procedure, and pressure history; S015 leaves lubrication fields blank","S015",high,"Map oil circuit and relief hardware before priming or changing relief settings."
ST027,fuel_oil_cooling,coolant capacity cap pressure thermostat restrictor and bleed method,"Installed cooling system",blocked,"Radiator, water pump, hoses, cap, thermostat/restrictor, fan, bleed layout, coolant type, and pressure-test results; S015 leaves cooling fields blank","S015",high,"Document cooling layout and pressure-test condition before coolant capacity, cap, thermostat, restrictor, or bleed guidance."
ST028,driveline,gear ratios and final-drive selection,"Installed transaxle, engine, tires, and use case",blocked,"Transaxle identity, gear stack, crown wheel/pinion, tire diameter, engine torque curve, intended event/use, and service manual; S016 applies only to verified LG500/LG600 units","S015;S016",high,"Record existing ratios and transaxle identity before ratio or final-drive recommendations."
ST029,driveline,clutch adjustment and release geometry,"Installed clutch, flywheel, bellhousing, release bearing, hydraulics, and transaxle",blocked,"Clutch disc/cover/flywheel IDs, input spline, release bearing, slave/master cylinders, pedal ratio, linkage geometry, free play, and service source","S015;S016",high,"Identify clutch and release components before pedal, free-play, or bleeding assumptions."
ST030,brakes_wheels_tires,brake fluid pad bedding and pressure targets,"Installed brake system",blocked,"Caliper/disc/pad/master IDs, seal compatibility, fluid history, balance mechanism, pedal ratio, ducting, tire data, pad maker instructions, and pressure-test data; S015 leaves brake dimensions blank","S009;S015",high,"Map brake system and identify pad/fluid requirements before bedding, pressure, or fluid recommendations."
ST031,brakes_wheels_tires,wheel bearing hub preload or end float,"Installed hubs bearings uprights and wheels",blocked,"Hub/upright/bearing/nut/retainer IDs, bearing type, service manual, lubrication condition, heat history, and wheel/tire package; S015 does not provide hub service settings","S015",high,"Identify hub and bearing hardware before preload, end-float, or bearing-service guidance."
ST032,electrical_instruments,gauge sender calibration and warning thresholds,"Installed instruments senders and engine systems",blocked,"Gauge make/range, sender part numbers, wiring resistance, oil/coolant/fuel system specs, warning-light thresholds, and calibration evidence; S015 does not provide gauge/sender data","S015;S019",medium,"Map gauge-to-sender pairs and verify calibration before trusting readings or setting warning thresholds."
ST033,chassis_body,structural repair dimensions materials and panel bonding or welding settings,"Installed chassis tub and body repairs",blocked,"Chassis identity, material thickness/specification, repair history, original drawings, weld/bond process specs, jig/datum dimensions, corrosion state, and specialist repair source; S028 can target Ford GT Program folders but is not itself a repair procedure","S009;S015;S003;S020;S022;S028",high,"Do not cut, weld, bond, or straighten structure until identity, materials, datum references, and repair procedure are verified."
